Globasa	Eng with Senses	German	Dutch	Old English (ca. 450-1100)	Ancient Greek (to 1453)	Latin	French	Italian	Russian	Yiddish	Hebrew	Arabic	Mandarin Chinese	Japanese	Turkish	Tatar
fahuri	proud [gratified, feeling honoured, feeling satisfied]	stolz	trots, fier	ofermōd		superbus	fier	fiero, orgoglioso	го́рдый	שטאָלץ	גֵאֶה	فَخُور	驕傲 /骄傲, 傲然	誇らしい, 自慢の	gururlu	горур
fahuriya	pride [quality or state of being proud; inordinate self-esteem; an unreasonable conceit of one's own superiority in talents, beauty, wealth, rank etc.]	Hochmut <m>	trots, eergevoel <n>, fierheid	ofermettu <f>		superbia <f>	fierté, orgueil <m>	orgoglio, superbia <f>	спесь <f>, зано́счивость <f>, го́нор <m>, чва́нство <n>, горды́ня <f>, высокоме́рие <n>	גאווה	גאווה \ גַּאֲוָה <f>	كِبْرِيَاء <f>	妄自尊大, 自負 /自负, 自大	傲慢, 自慢	gurur, kibir	
faksi	fax [send document]	Fax <n>; faxen, fernkopieren	fax <m>; faxen			facsimilis <m>	télécopie <f>, fax <m>; oïn, faxer	telecopia <f>, telefax <m>, telecopiatura <f>, fax <m>; faxare, telecopiare	факс <m>, телефа́кс <m>, факси́миле <n>; передава́ть факс, посыла́ть факс	פֿאַקס	פַקְס <m>	فَاكْس <m>; أَرْسَلَ فَاكْس		ファックス, ファクシミリ; ファクスを送る	faks	
faksido																
faksitora																
faku																
fal	by [indicates creator of a work]	von	door, vanwege	of		a, ab	de, par	di, da			מאת	لِـ, بِوَاسِطَّة		作…, …作	tarafindan	
falafel	falafel [Middle Eastern food]	Falafel <f>/<n>	falafel <m>				falafel <m>, falafels <m>	felafel <m>, falafel <m>	фала́фель <m>	פֿאַלאַפֿעל <n>	פָלָאפֶל <m>	طَعْمِيَّة <f>, فَلَافِل	鷹嘴豆泥球 /鹰嘴豆泥球, 法拉費 /法拉费	ファラーフェル, ファラフェル	felafel, tamiya	
fale	do [perform, execute]	Handlung <f>, Tat <f>, Akt <m>, Tat <f>, Werk <n>, Akt <m>; tun, machen	daad, handeling <f>, daad <f>; doen	dǣd <f>; dōn	πρᾶξις <f>, πρᾶγμα <n>; ἔρδω, ποιέω, πρᾱ́σσω, ῥέζω, δράω, πρᾱ́ττω, τελέω	āctus <m>, āctiō <m>, āctus <m>; faciō, agō	acte <m>, action <f>, œuvre <f>, acte <m>; faire	atto <m>, fatto <m>, gesta, gesto; fare	де́ло <n>, де́йствие <n>, посту́пок <m>, акт <m>, де́йствие <n>, посту́пок <m>, дея́ние <n>, акт <m>; сде́лать, де́лать	; טאָן	מעשה <m>, פעולה \ פְּעֻלּה <f>, מַעֲשֶׂה; עָשָׂה, פָּעַל	عَمَل <m>, فِعْل <m>, عَمَل <m>; فَعَلَ, عَمِلَ	行為 /行为, 作為 /作为, 行為 /行为; 做, 作	行為, 行動, 行為; する, 致す, なさる, やる	iş, hareket; etmek, kılmak, yapmak	; эшләү
faledo																
falelexi																
falezi																
falso																
falsoxey																
falsoya																
falya																
famil	family [group of people related by blood, marriage, law, or custom|immediate family [as a group], e.g. parents and their children]	Sippe <f>, Familie <f>, Familie <f>	familie <f>, gezin <n>, familie <f>	hīred <m>		familia <f>, gens <f>	famille <f>	famiglia <f>	семе́йство <n>, род <m>, семья́ <f>, семе́йство <n>, семья́ <f>	משפחה <f>, משפּחה <f>	מִשְׁפָּחָה <f>	عيلة <f>, أَهْل <m>, عَائِلَة <f>, أَهِل <m>, عيلة <f>, أُسْرَة <f>, عيلة <f>, أُسْرَة <f>, أَهْل <m>, أَقَارِب, عَائِلَة <f>		家庭, ご家族, 家族, 家庭, 親類, 親族, 親戚	kodak, aile, kodak, ocak, aile	гаилә, семья
familname																
familyen	relative [someone connected by blood, marriage, or adoption; someone in the same family], family member [person belonging to a family]	Familienmitglied <n>, Angehöriger <m>, Verwandte <f>, Familienangehörige <f>, Blutsverwandter <m>, Blutsfreund <m>, Blutsfreundin <f>, Blutsverwandte <f>, Angehörige <f>, Freund <m>, Verwandter <m>, Freundin <f>, Familienangehöriger <m>	gezinslid <n>, familielid <n>, familielid <n>, bloedverwant <m>		συγγενής <m>/<f>, πηός <m>	propinquus <m>, cognāta <f>, cognātus <m>, propinqua <f>	parent <m>	congiunta <f>, congiunto <m>, parentado <m>, parente <m>/<f>, familiare <m>/<f>, parentela <f>	член семьи́ <m>, родня́ <f>, ро́дственница <f>, соро́дич <m>, ро́дич <m>, своя́к <m>, ро́дственник <m>	קאָרעוו <m>, פֿרײַנט <m>	קְרוֹבָה <f>, קָרוֹב <m>	قَرِيبَة <f>, أَقْرِبَاء, قريب <m>, أَقارِبُ, قَرِيب <m>, قرايِب	親戚 /亲戚, 家庭成員 /家庭成员, 家屬 /家属	親戚, 身内, 家族の一員	aile ferdi, aile üyesi, akraba	
fan																
fanko																
fankobunhway																
fankopul																
fankosokitan																
fantasi	fantasy [that which comes from one's imagination]	Fantasie <f>, Phantasie <f>	fantasie			somnium <n>	fantasme <m>, fantaisie <f>, imaginaire <m>	fantasia <f>	фанта́зия <f>, воображе́ние <n>, вы́мысел <m>			خَيَال <m>	幻想, 空想	幻想, ファンタジー, 狂想, 空想	hayal	
fantasisim																
faradi	farad [unit of capacitance]	Farad <n>	farad <m>				farad <m>		фара́д <m>, фара́да <f>			فَارَاد <m>	法拉	ファラド	farad	фарад
faraon	pharaoh [supreme ruler of ancient Egypt]	Pharao <m>, Pharaonin <f>	farao <m>		Φαραώ <m>, Φαραών <m>	pharaō <m>	pharaon <m>	faraone <m>	фарао́н <m>	פּרעה <m>	פַּרְעֹה <m>	فِرْعَوْن <m>	法老, 法老王	ファラオ	firavun	фиргавен
Farenhayt																
farina																
Faroer	Faroe Islands [group of islands between Scotland and Iceland]	die Färöer	Faeröer			Faerōae <f>	les îles Féroé <f>, les îles Faeroe <f>	Fær Øer <f>, isole Fær Øer <f>	Фаре́ры, Фаре́рские острова́ <m>		איי פארו	جُزُر فَارُو <f>	法羅群島 /法罗群岛	フェロー諸島	Faroe Adaları	Фарер утраулары
farxu	carpet [a fabric used as a floor covering]	Teppichboden <m>, Teppich <m>	tapijt <n>, vloerkleed <n>	brǽdels <m>	τάπης <m>	tapēs <m>, strāgulum <n>	moquette <f>, tapis <m>	moquette, tappeto <m>	ковёр <m>	טעפּיך <m>	שָׁטִיחַ <m>	سَجَّادَة <f>, زِرْبِيّة <f>, بِسَاط <m>, زَرْبِيّة <f>, زُرْبِيّة <f>	地毯, 地氈 /地毡	カーペット, 絨毯	halı, kilim	келәм
farxudo																
fase																
fasi	fascist [of or relating to fascism]	faschistisch	fascistisch				facho, fasciste	fascista	фаши́стский	פֿאַשיסטיש		فَاشِسْتِيّ, فَاشِيّ, نَازِيّ	法西斯主義的 /法西斯主义的		faşist	
fasidu																
fasiducu																
fasidugi																
fasiismo	fascism [extreme totalitarian political regime]	Faschismus <m>	fascisme <n>			fascismus	fascisme <m>	fascismo <m>	фаши́зм <f>	פֿאַשיזם <m>	פַשִׁיזְם <m>	فَاشِيَّة <f>	法西斯主義 /法西斯主义	ファシズム	faşizm	фашизм
fasiista	fascist [proponent of fascism]	Fascho <m>, Faschist <m>, Nazi <m>, Faschistin <f>	fasciste <f>, fascist <m>				fasciste <m>, Nazi <m>	fascista	наци́стка <f>, фаши́ст <m>, фаши́стка <f>, фошыст <m>, наци́ст <m>	פֿאַשיסט <m>	פָשִׁיסְט <m>	فَاشِسْتِيَّة <f>, نَازِيَّة <f>, فَاشِسْتِيّ <m>, فَاشِيَّة <f>, فَاشِيّ <m>, نَازِيّ <m>	法西斯, 納粹 /纳粹	ナチス, ファシスト	faşist	
fasul																
fatmin																
fatmindo																
fatmindoku	patent [declaration issued by a government agency that the inventor of a new invention has the sole privilege of making, selling, or using the claimed invention for a specified period]	Patent <n>	octrooi <n>, patent <n>				brevet <m>	brevetto <m>	пате́нт <m>			بَرَاءَة اِخْتِرَاع <f>	專利 /专利	特許, 専売特許	patent, buluş belgesi	
fatminfil	inventive [creative, or skilful at inventing]		vindingrijk		εὑρετικός		inventif	inventivo	нахо́дчивый, изобрета́тельный							
fatminyen	inventor [one who invents]	Erfinder <m>, Erfinderin <f>	uitvinder <m>		εὑρετής <m>, καινουργός <m>, ἐπινοητής <m>	inventor <m>, repertor <m>, inventrix <f>	inventrice <f>, inventeur <m>	inventore <m>, inventrice <f>, ideatore	зате́йник <m>, изобрета́тельница <f>, изобрета́тель <m>			مُخْتَرِع <m>, مُبْتَكِر <m>	發明家 /发明家	発明者	mucit	
fato																
fatoli																
fatura																
fayda																
faydayen																
faylu																
fayludo																
fe	at [in or very near a particular place|indicating time], in [part, member of|pertaining to]	von, bei, in, an, zu, auf, um	om, op, bij, in	on		a, ab, in	à, à, en, en	in, a, a, in, su, in	на, во́зле, в, у, по, из, в		אֵצֶל	مِن, في, في, فِي, عِنْدَ, عند, عِنْد, عِنْد		...に, ... に, ...で	-tan, -ten, -dan, -den, -de, -da	
fe alo kaso																
fe alo lexi																
fe alo loga																
fe aresto																
fe asel																
fe asif																
fe basi																
fe basi fe																
fe baxya																
fe benji																
fe bonxanse																
fe byen de																
fe centro																
fe centro de																
fe comen																
fe comen de																
fe den kaso																
fe durya																
fe espesyalya																
fe exkludi fe																
fe exya																
fe exya de																
fe fato	actually [In act or in fact; really; in truth; positively]	tatsächlich, wirklich, in Wahrheit, in Wirklichkeit, eigentlich	in werkelijkheid, feitelijk, eigenlijk	sōþlīce	ἀληθῶς, τῷ ὄντι, ἐτήτυμον	rēvērā	en fait, effectivement	effettivamente, realmente, in verità, davvero, concretamente	действи́тельно, на са́мом де́ле, вообще́-то, факти́чески	פֿאַקטיש, בפּועל־ממש, בפּועל, ממש, אייגנטלעך	למעשה	فِعْلًا	其實 /其实, 究竟	本当に, 実は, 実際に	aslında	
fe fini	finally [at the end]	schließlich	uiteindelijk	æt nīehstan		tandem, aliquando, dēmum	enfin	finalmente	в конце́ концо́в			أَخِيراً		結局, 終いに, 終わりに		
fe folo																
fe folo fe																
fe folo ki																
fe folya																
fe fronta																
fe fronta de	in front of [at or near the front part of]	vor	voor		ἔμπροσθεν, ἐνώπιον	ante, pro, prae	en face de, devant	davanti a	пе́ред			أَمَامَ, بَيْنَ يَدَيْ, قُدَّامَ	...面前	...の前に		
fe geo																
fe gwaho																
fe hataya																
fe hataya fe																
fe hataya ki																
fe hin kaso																
fe infer																
fe infracengu																
fe inkludi fe																
fe intrewatu																
fe intreya																
fe inya																
fe inya de																
fe jadin																
fe jaya																
fe kapi																
fe kapi de																
fe kaso fe																
fe kolyo ki
fe kompara fe																
fe kompara ki																
fe kosa fe	because of [on account of, by reason of, for the purpose of]	wegen, vor	wegens, vanwege	for	ἕνεκα, διά	prae, propter, ob	à cause de, grâce à, en raison de	per via di, a causa di	ра́ди, всле́дствие, из-за		בִּגְלַל	بِسَبَب, عَنّ طَرِيق, بِحُكْم, بِهَدَفّ, بِفَضْل	為了 /为了, 基於 /基于, 由於 /由于	...のせいで, のために	-tan dolayı, -dan dolayı, -ten dolayı, -den dolayı, yüzünden	
fe kosa ki	because [by or for the cause that; on this account that; for the reason that], since [because], for [because]	da, weil, denn, da, weil	omdat, aangezien, want, omdat, daar, aangezien, want, omdat	for þon þe	διότι, ὅτι, ὡς, ἐπεί, γάρ, οὕνεκα, διό, ἐπεί, γάρ, διότι, ὅτι, ὡς, ἐπεί, γάρ, οὕνεκα	quoniam, quippe quī, nam, quod, quĭă, proptereā quod, quia, prō eō quod, quod, cum, quoniam	étant donné que, puisque, vu que, car, parce que, à cause que, car, parce que	perché, poiché, perché, siccome, giacché, visto che, poiché, dato che, dacché	поско́льку, и́бо, поне́же, потому́ что, ведь, та́к как, поско́льку, так как, потому́ что, потому́ что, и́з-за того́, что, ибо	וואָרעם, ווײַל, וואָרן, מחמת, נאַכסאָל	כִּי, בִּגְלַל שֶׁ־, כִּי	لِأَنَّ	因為 /因为, 由於 /由于, 為著 /为著, 为着, 因為 /因为, 因為 /因为, 因, 由於 /由于	から, ので, なぜなら, だって, ために, ...のため, …ため, …から, …ので, ……により, …によって	için, çünkü, -den, için	чөнки
fe leya																
fe lutuf																
fe maxusya																
fe midiya																
fe midiya de																
fe minusya																
fe misal																
fe misu bage																
fe misu ijen																
fe moy kaso																
fe moyun																
fe muka																
fe muka de																
fe nerleli watu																
fe nunya	now [present; current]	jetzig														
fe offolo fe																
fe oko de																
fe okur fe																
fe onxala																
fe oposya																
fe oposya de																
fe peda																
fe peda de																
fe perya																
fe peti																
fe porya																
fe preferi kom																
fe rimara																
fe ruke																
fe ruke de	behind [at the back of]	hinter	achter, achteraan	æfter	ὄπισθεν	post, pōne	derrière	dietro	сза́ди, за, позади́	הינטער	מֵאָחוֹר, מאחורי	خَلْفَ, وَرَاءَ	...後面 /...后面, ...後邊 /...后边	...の後ろに	arkasında	
fe sesu bage																
fe super																
fe supracengu																
fe tayti																
fe tayti fe																
fe tayti ki																
fe tema fe																
fe Teo																
fe totalya	overall [all-encompassing]	Gesamt-	globaal				total, global	generale, globale, complessivo	всеобъе́млющий, всео́бщий, по́лный, о́бщий				綜合的 /综合的, 全面的			
fe ultraya																
fe xaya																
fe xoru																
